         4238724021 function calls (4238083876 primitive calls) in 30502.497 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000 30502.496 30502.496 main.py:15(main)
        1    0.000    0.000 30499.423 30499.423 /home/jason/safe-debates/debate.py:28(play)
        4    0.229    0.057 30499.360 7624.840 /home/jason/safe-debates/agent.py:38(simulate_)
240000/40000  509.992    0.002 30495.882    0.762 /home/jason/safe-debates/agent.py:19(rollout_)
 20400004   53.955    0.000 29545.690    0.001 /home/jason/safe-debates/utilities.py:13(__getitem__)
 20400004 4135.854    0.000 29136.257    0.001 /home/jason/safe-debates/utilities.py:14(<listcomp>)
408000080 2439.587    0.000 13674.233    0.000 /home/jason/safe-debates/utilities.py:27(_to_tuple)
408000080 8251.283    0.000 9904.319    0.000 {function BatchDict.__getitem__ at 0x7fb718b55ae8}
408000082 8537.640    0.000 8537.640    0.000 {method 'tolist' of 'torch._C._TensorBase' objects}
408200080 1784.741    0.000 1784.741    0.000 {method 'contiguous' of 'torch._C._TensorBase' objects}
408000080  317.008    0.000 1653.036    0.000 /home/jason/safe-debates/utilities.py:21(__missing__)
408000080 1274.832    0.000 1274.832    0.000 {built-in method zeros}
408480088  922.926    0.000  922.926    0.000 {method 'view' of 'torch._C._TensorBase' objects}
408200080  805.844    0.000  805.844    0.000 {method 'unsqueeze' of 'torch._C._TensorBase' objects}
412000240  628.296    0.000  628.296    0.000 /home/jason/anaconda3/envs/debate/lib/python3.6/site-packages/torch/tensor.py:361(<lambda>)
   200000   31.693    0.000  469.256    0.002 /home/jason/safe-debates/agent.py:56(calculate_UCT)
 20400004  285.896    0.000  285.896    0.000 {built-in method cat}
    40002    0.803    0.000  234.199    0.006 /home/jason/safe-debates/debate.py:46(evaluate)
480024/40002    2.521    0.000  232.598    0.006 /home/jason/anaconda3/envs/debate/lib/python3.6/site-packages/torch/nn/modules/module.py:485(__call__)
    40002    1.035    0.000  232.269    0.006 /home/jason/safe-debates/judge.py:37(forward)
    80004    0.626    0.000  206.379    0.003 /home/jason/anaconda3/envs/debate/lib/python3.6/site-packages/torch/nn/modules/container.py:89(forward)
    80004    0.483    0.000  140.885    0.002 /home/jason/anaconda3/envs/debate/lib/python3.6/site-packages/torch/nn/modules/conv.py:299(forward)
    80004  140.277    0.002  140.277    0.002 {built-in method conv2d}
 20600012   50.979    0.000   70.452    0.000 /home/jason/anaconda3/envs/debate/lib/python3.6/site-packages/torch/tensor.py:352(__iter__)
408600341/408600340   61.315    0.000   61.315    0.000 {built-in method builtins.len}
   200004   43.319    0.000   44.413    0.000 /home/jason/safe-debates/agent.py:51(get_valid_actions)
   200000   22.492    0.000   41.149    0.000 /home/jason/safe-debates/agent.py:62(break_ties)
   800001   37.302    0.000   37.302    0.000 {method 'sum' of 'torch._C._TensorBase' objects}
    80004    0.304    0.000   32.998    0.000 /home/jason/anaconda3/envs/debate/lib/python3.6/site-packages/torch/nn/modules/pooling.py:139(forward)
    80004    0.146    0.000   32.693    0.000 /home/jason/anaconda3/envs/debate/lib/python3.6/site-packages/torch/nn/functional.py:353(max_pool2d)
