         112679140 function calls (112614995 primitive calls) in 1146.456 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000 1146.455 1146.455 main.py:15(main)
        1    0.000    0.000 1143.314 1143.314 /home/jason/safe-debates/debate.py:28(play)
        4    0.026    0.007 1143.257  285.814 /home/jason/safe-debates/agent.py:38(simulate_)
24000/4000   49.702    0.002 1142.978    0.286 /home/jason/safe-debates/agent.py:19(rollout_)
  1040004    3.302    0.000 1076.100    0.001 /home/jason/safe-debates/utilities.py:13(__getitem__)
  1040004   99.636    0.000 1041.368    0.001 /home/jason/safe-debates/utilities.py:14(<listcomp>)
 10400040   79.187    0.000  584.854    0.000 /home/jason/safe-debates/utilities.py:27(_to_tuple)
 10400042  342.416    0.000  342.416    0.000 {method 'tolist' of 'torch._C._TensorBase' objects}
 10400040  183.877    0.000  288.601    0.000 {function BatchDict.__getitem__ at 0x7f55c7f39ae8}
 10420040  120.524    0.000  120.524    0.000 {method 'contiguous' of 'torch._C._TensorBase' objects}
 10400040   13.177    0.000  104.724    0.000 /home/jason/safe-debates/utilities.py:21(__missing__)
 10400040   88.871    0.000   88.871    0.000 {built-in method zeros}
 10448048   43.147    0.000   43.147    0.000 {method 'view' of 'torch._C._TensorBase' objects}
 10420040   41.023    0.000   41.023    0.000 {method 'unsqueeze' of 'torch._C._TensorBase' objects}
 10600100   28.116    0.000   28.116    0.000 /home/jason/anaconda3/envs/debate/lib/python3.6/site-packages/torch/tensor.py:361(<lambda>)
  1040004   27.190    0.000   27.190    0.000 {built-in method cat}
    20000    1.418    0.000   24.703    0.001 /home/jason/safe-debates/agent.py:56(calculate_UCT)
    20004    4.791    0.000    4.808    0.000 /home/jason/safe-debates/agent.py:71(apply_action)
    20000    3.125    0.000    4.563    0.000 /home/jason/safe-debates/agent.py:62(break_ties)
  1060010    3.065    0.000    4.334    0.000 /home/jason/anaconda3/envs/debate/lib/python3.6/site-packages/torch/tensor.py:352(__iter__)
        2    0.000    0.000    3.059    1.529 /home/jason/anaconda3/envs/debate/lib/python3.6/site-packages/torch/serialization.py:241(load)
        2    0.000    0.000    3.059    1.529 /home/jason/anaconda3/envs/debate/lib/python3.6/site-packages/torch/serialization.py:309(_load)
        2    0.000    0.000    3.004    1.502 {method 'load' of '_pickle.Unpickler' objects}
       26    0.000    0.000    3.002    0.115 /home/jason/anaconda3/envs/debate/lib/python3.6/site-packages/torch/serialization.py:423(persistent_load)
       26    0.000    0.000    3.002    0.115 /home/jason/anaconda3/envs/debate/lib/python3.6/site-packages/torch/serialization.py:86(default_restore_location)
       24    0.000    0.000    3.002    0.125 /home/jason/anaconda3/envs/debate/lib/python3.6/site-packages/torch/serialization.py:67(_cuda_deserialize)
       24    0.001    0.000    3.002    0.125 /home/jason/anaconda3/envs/debate/lib/python3.6/site-packages/torch/_utils.py:45(_cuda)
       24    0.000    0.000    2.999    0.125 /home/jason/anaconda3/envs/debate/lib/python3.6/site-packages/torch/cuda/__init__.py:222(__enter__)
       27    0.000    0.000    2.999    0.111 /home/jason/anaconda3/envs/debate/lib/python3.6/site-packages/torch/cuda/__init__.py:146(_lazy_init)
        1    2.999    2.999    2.999    2.999 {built-in method torch._C._cuda_init}
10460221/10460220    2.685    0.000    2.685    0.000 {built-in method builtins.len}
     4002    0.092    0.000    1.745    0.000 /home/jason/safe-debates/debate.py:46(evaluate)
48024/4002    0.145    0.000    1.527    0.000 /home/jason/anaconda3/envs/debate/lib/python3.6/site-packages/torch/nn/modules/module.py:485(__call__)
     4002    0.065    0.000    1.508    0.000 /home/jason/safe-debates/judge.py:37(forward)
    80001    1.316    0.000    1.316    0.000 {method 'sum' of 'torch._C._TensorBase' objects}
    20004    1.111    0.000    1.218    0.000 /home/jason/safe-debates/agent.py:51(get_valid_actions)
    84007    1.024    0.000    1.024    0.000 {method 'type' of 'torch._C._TensorBase' objects}
     8004    0.038    0.000    0.938    0.000 /home/jason/anaconda3/envs/debate/lib/python3.6/site-packages/torch/nn/modules/container.py:89(forward)
  1144022    0.796    0.000    0.796    0.000 {method 'size' of 'torch._C._TensorBase' objects}
    44006    0.620    0.000    0.620    0.000 {built-in method max}
     8004    0.021    0.000    0.498    0.000 /home/jason/anaconda3/envs/debate/lib/python3.6/site-packages/torch/nn/modules/conv.py:299(forward)
     8004    0.470    0.000    0.470    0.000 {built-in method conv2d}
    20000    0.206    0.000    0.379    0.000 /home/jason/anaconda3/envs/debate/lib/python3.6/site-packages/torch/tensor.py:319(__rdiv__)
  1068015    0.327    0.000    0.327    0.000 {method 'dim' of 'torch._C._TensorBase' objects}
     8004    0.017    0.000    0.277    0.000 /home/jason/anaconda3/envs/debate/lib/python3.6/site-packages/torch/nn/modules/linear.py:54(forward)
     8004    0.014    0.000    0.256    0.000 /home/jason/anaconda3/envs/debate/lib/python3.6/site-packages/torch/nn/functional.py:979(linear)
1060013/1060011    0.226    0.000    0.244    0.000 {built-in method builtins.iter}
     4004    0.042    0.000    0.244    0.000 /home/jason/anaconda3/envs/debate/lib/python3.6/site-packages/tqdm/_tqdm.py:897(__iter__)
    20000    0.224    0.000    0.224    0.000 {built-in method randint_like}
     8004    0.210    0.000    0.210    0.000 {built-in method addmm}
    20000    0.172    0.000    0.172    0.000 {method 'reciprocal' of 'torch._C._TensorBase' objects}
    20000    0.167    0.000    0.167    0.000 {method 'sqrt' of 'torch._C._TensorBase' objects}
     8004    0.013    0.000    0.164    0.000 /home/jason/anaconda3/envs/debate/lib/python3.6/site-packages/torch/nn/modules/pooling.py:139(forward)
     8004    0.009    0.000    0.153    0.000 /home/jason/anaconda3/envs/debate/lib/python3.6/site-packages/torch/nn/modules/activation.py:45(forward)
     8004    0.010    0.000    0.151    0.000 /home/jason/anaconda3/envs/debate/lib/python3.6/site-packages/torch/nn/functional.py:353(max_pool2d)
     8004    0.009    0.000    0.143    0.000 /home/jason/anaconda3/envs/debate/lib/python3.6/site-packages/torch/nn/functional.py:594(threshold)
     8004    0.141    0.000    0.141    0.000 {built-in method torch._C._nn.max_pool2d}
     8004    0.135    0.000    0.135    0.000 {built-in method torch._C._nn.threshold}
     4004    0.011    0.000    0.110    0.000 /home/jason/anaconda3/envs/debate/lib/python3.6/site-packages/tqdm/_tqdm.py:881(__repr__)
     4004    0.042    0.000    0.098    0.000 /home/jason/anaconda3/envs/debate/lib/python3.6/site-packages/tqdm/_tqdm.py:197(format_meter)
     4002    0.005    0.000    0.072    0.000 /home/jason/anaconda3/envs/debate/lib/python3.6/site-packages/torch/nn/modules/dropout.py:52(forward)
     4002    0.005    0.000    0.068    0.000 /home/jason/anaconda3/envs/debate/lib/python3.6/site-packages/torch/nn/functional.py:551(dropout)
     4004    0.009    0.000    0.063    0.000 /home/jason/anaconda3/envs/debate/lib/python3.6/site-packages/tqdm/_tqdm.py:190(print_status)
     4002    0.056    0.000    0.063    0.000 {built-in method apply}
        6    0.000    0.000    0.062    0.010 /home/jason/safe-debates/agent.py:84(reset_)
        6    0.062    0.010    0.062    0.010 {built-in method gc.collect}
     4004    0.005    0.000    0.053    0.000 /home/jason/anaconda3/envs/debate/lib/python3.6/site-packages/tqdm/_tqdm.py:184(fp_write)
       24    0.052    0.002    0.052    0.002 {method '_set_from_file' of 'torch._C.CudaFloatStorageBase' objects}
     4012    0.046    0.000    0.046    0.000 {method 'write' of '_io.TextIOWrapper' objects}
     4002    0.013    0.000    0.044    0.000 /home/jason/safe-debates/judge.py:28(flatten)
        1    0.000    0.000    0.042    0.042 /home/jason/safe-debates/debate.py:9(__init__)
        1    0.000    0.000    0.042    0.042 /home/jason/safe-debates/debate.py:60(reset_)
    52054    0.034    0.000    0.034    0.000 /home/jason/anaconda3/envs/debate/lib/python3.6/site-packages/torch/nn/modules/module.py:518(__getattr__)
    24040    0.033    0.000    0.033    0.000 {method 'format' of 'str' objects}
     8004    0.030    0.000    0.030    0.000 {method 't' of 'torch._C._TensorBase' objects}
     8004    0.011    0.000    0.029    0.000 /home/jason/anaconda3/envs/debate/lib/python3.6/site-packages/tqdm/_tqdm.py:153(format_interval)
        5    0.000    0.000    0.026    0.005 /home/jason/anaconda3/envs/debate/lib/python3.6/site-packages/torch/cuda/__init__.py:44(is_available)
        6    0.026    0.004    0.026    0.004 {built-in method torch._C._cuda_isDriverSufficient}
